Johan Buddenbrook,Johan Buddenbrook,true,"Adding 'Johan Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Persons are equal."
Alien Alien,Johan Buddenbrook,false,"Adding 'Alien Alien' to spouses list of 'Johan Buddenbrook' should NOT fail
because Aspirant is alien"
Johann Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Johann Buddenbrook is already married with [Josephine Buddenbrook, Antoinette Duchamps]"
Johann Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Johan Buddenbrook is in parental line of Johann Buddenbrook"
Johann Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Johann Buddenbrook is in children's line of Johan Buddenbrook"
Bernhard Buddenbrook,Johan Buddenbrook,true,"Adding 'Bernhard Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Johan Buddenbrook is in parental line of Bernhard Buddenbrook"
Bernhard Buddenbrook,Johan Buddenbrook,true,"Adding 'Bernhard Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Bernhard Buddenbrook is in children's line of Johan Buddenbrook"
Josephine Buddenbrook,Johan Buddenbrook,true,"Adding 'Josephine Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Josephine Buddenbrook is already married with [Johann Buddenbrook]"
Antoinette Duchamps,Johan Buddenbrook,true,"Adding 'Antoinette Duchamps' to spouses list of 'Johan Buddenbrook' should  fail
because Antoinette Duchamps is already married with [Johann Buddenbrook]"
Gotthold Buddenbrook,Johan Buddenbrook,true,"Adding 'Gotthold Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Gotthold Buddenbrook is already married with [Rosalie Stuewing]"
Gotthold Buddenbrook,Johan Buddenbrook,true,"Adding 'Gotthold Buddenbrook' to spouses list of 'Johan Buddenbrook' should  fail
because Johan Buddenbrook is in parental line of Gotthold Buddenbrook"
